"Story","Title","Result","Date","Stability","Duration (s)"
"Pet CRUD test","This will add a pet information","SUCCESS","2023-01-10T22:43:10.103Z[Europe/London]","0.0","7.62"
"User data driven test","Data driven test for adding multiple users to the application","SUCCESS","2023-01-10T22:43:17.741Z[Europe/London]","0.0","71.17"
"Pet CRUD test","This will find pet information by petID","SUCCESS","2023-01-10T22:43:17.759Z[Europe/London]","0.0","0.99"
"Pet CRUD test","This will update pet information","SUCCESS","2023-01-10T22:43:18.748Z[Europe/London]","0.0","0.61"
"Pet CRUD test","Deleting pet info and verifying pet info is delted","SUCCESS","2023-01-10T22:43:19.361Z[Europe/London]","0.0","1.31"
"User CRUD test","This will create a new user","SUCCESS","2023-01-10T22:43:21.540Z[Europe/London]","0.0","0.92"
"User CRUD test","This will verify that new user has been created","SUCCESS","2023-01-10T22:43:22.461Z[Europe/London]","0.0","0.83"
"User CRUD test","This will update a new user","SUCCESS","2023-01-10T22:43:23.292Z[Europe/London]","0.0","1.12"
"User CRUD test","Deleting user and verifying user is delted","SUCCESS","2023-01-10T22:43:24.414Z[Europe/London]","0.0","1.2"
"Pet data driven test","Data driven test for adding multiple pets to the application","SUCCESS","2023-01-10T22:43:34.426Z[Europe/London]","0.0","6.15"
"Tags test","Test001","SUCCESS","2023-01-10T22:43:34.456Z[Europe/London]","0.0","1.16"
"Tags test","Test002","SUCCESS","2023-01-10T22:43:35.618Z[Europe/London]","0.0","0.6"
"Tags test","Provide 500 status code when incorrect Http method is used to access resource","FAILURE","2023-01-10T22:43:36.222Z[Europe/London]","0.0","0.56"
"Tags test","Provide 200 status code when correct Http method is used to access resource","SUCCESS","2023-01-10T22:43:36.779Z[Europe/London]","0.0","0.55"
"Testing different request on the petstore application pet detail","As a user I am registering new pet detail","SUCCESS","2023-01-10T22:43:10.721Z[Europe/London]","0.0","8.32"
"Testing different request on the petstore application pet detail","As a user I am getting detail of new pet","SUCCESS","2023-01-10T22:43:20.003Z[Europe/London]","0.0","0.84"
"Testing different request on the petstore application pet detail","As a user I am updating existing pet detail","SUCCESS","2023-01-10T22:43:20.892Z[Europe/London]","0.0","0.82"
"Testing different request on the petstore application pet detail","As user I am deleting Pet detail","SUCCESS","2023-01-10T22:43:21.738Z[Europe/London]","0.0","1.3"
"Testing different request on the petstore application","As a user I am getting detail of new user","SUCCESS","2023-01-10T22:43:26.900Z[Europe/London]","0.0","0.62"
"Testing different request on the petstore application","As a user I am updating user detail","SUCCESS","2023-01-10T22:43:27.545Z[Europe/London]","0.0","1.14"
"Testing different request on the petstore application","As user I am deleting user detail","SUCCESS","2023-01-10T22:43:28.723Z[Europe/London]","0.0","1.35"
"Testing different request on the petstore application","As a user I am registering new user detail","SUCCESS","2023-01-10T22:43:30.106Z[Europe/London]","0.0","3.56"
